Employeeid,Age,Experience,EducationField,City,Department,Job_Title,Gender,NumCompaniesWorked,Attrition,Attrition_num
109846,33,8,MBA/PGDM,Hyderabad,Services,Lead Engineer ,Male,0,No,0
109852,72,9,B.Tech/B.E.,Kolkata,Business Development,Senior Lead Engineer  ,Male,3,No,0
109855,40,8,Ph.D/Doctorate,Hyderabad,Support,Lead Engineer ,Male,1,No,0
109858,31,8,M.Tech/M.E.,Chennai,Training,Project Manager ,Male,0,No,0
109860,37,8,Ph.D/Doctorate,Bangalore,Marketing,Specialist ,Female,2,No,0
109872,50,8,Other degrees,Ahmedabad,Research and Development,Technical Lead ,Female,4,No,0
109874,31,7,M.Tech/M.E.,Delhi,Training,Lead Engineer ,Male,2,Yes,1
109876,64,8,B.Tech/B.E.,Ahmedabad,Business Development,Lead Associate -,Female,6,No,0
109877,32,8,MBA/PGDM,Hyderabad,Business Development,Senior Engineer  ,Male,4,No,0
109884,47,8,M.Tech/M.E.,Bangalore,Human Resources,Technical Manager ,Male,1,Yes,1
109888,39,7,MBA/PGDM,Ahmedabad,Sales,Lead Engineer ,Female,3,Yes,1
109891,35,8,Ph.D/Doctorate,Kolkata,Accounting,Project Leader ,Male,1,No,0
109894,63,8,Other degrees,Hyderabad,Business Development,Senior Engineer  ,Female,3,No,0
109897,41,8,MBA/PGDM,Bangalore,Sales,Senior Engineer  ,Male,5,No,0
109899,48,8,MBA/PGDM,Bangalore,Human Resources,Senior Lead Engineer ,Male,2,No,0
109904,44,8,B.Tech/B.E.,Chennai,Sales,Lead Engineer ,Male,6,No,0
109908,67,8,M.Tech/M.E.,Bangalore,Business Development,Lead Engineer  ,Male,3,No,0
109959,27,5,M.Tech/M.E.,Delhi,Legal,Senior Engineer  ,Male,2,No,0
109971,36,5,Ph.D/Doctorate,Bangalore,Training,Project Leader ,Female,5,No,0
110001,51,9,Other degrees,Ahmedabad,Training,Senior Engineer  ,Male,3,No,0
110006,35,8,B.Tech/B.E.,Chennai,Human Resources,Project Manager ,Male,5,No,0
110028,31,5,M.Tech/M.E.,Mumbai,Research and Development,Project Leader ,Male,5,No,0
110033,31,0,M.Tech/M.E.,Chennai,Human Resources,Assistant Manager ,Female,4,Yes,1
110049,29,1,Other degrees,Kolkata,Support,Senior Engineer ,Male,3,No,0
110084,66,5,B.Tech/B.E.,Delhi,Research and Development,Technical Manager ,Male,4,No,0
110099,64,11,Other degrees,Hyderabad,Accounting,Lead Engineer  ,Male,9,No,0
110101,37,11,MBA/PGDM,Delhi,Sales,Lead Engineer  ,Male,3,No,0
110102,55,11,Ph.D/Doctorate,Mumbai,Sales,Senior Lead Engineer ,Female,5,No,0
110132,28,5,Ph.D/Doctorate,Hyderabad,Research and Development,Senior Engineer ,Male,5,No,0
110154,36,5,Other degrees,Bangalore,Business Development,Project Leader ,Male,2,No,0
110156,30,5,M.Tech/M.E.,Hyderabad,Business Development,Associate Engineer  ,Male,2,No,0
110163,56,5,MBA/PGDM,Chennai,Services,Assistant Manager ,Female,7,No,0
110191,25,5,Ph.D/Doctorate,Hyderabad,Human Resources,Senior Engineer  ,Male,0,No,0
110193,28,5,Ph.D/Doctorate,Chennai,Human Resources,Senior Engineer  ,Female,2,No,0
110314,70,5,Ph.D/Doctorate,Ahmedabad,Business Development,Lead Engineer  ,Male,1,No,0
110339,29,5,Ph.D/Doctorate,Chennai,Services,Senior Engineer ,Male,6,No,0
110341,29,5,M.Tech/M.E.,Hyderabad,Training,Technical Lead ,Male,4,No,0
110348,28,5,B.Tech/B.E.,Hyderabad,Accounting,Deputy Manager ,Male,4,No,0
110376,37,5,Other degrees,Hyderabad,Accounting,Senior Engineer ,Male,3,No,0
110404,30,2,Other degrees,Mumbai,Product Management,Senior Engineer ,Male,2,No,0
110406,28,5,MBA/PGDM,Chennai,Services,Associate Engineer ,Female,4,Yes,1
110433,73,5,B.Tech/B.E.,Hyderabad,Legal,Chief Engineer ,Male,6,No,0
110434,28,5,Ph.D/Doctorate,Ahmedabad,Legal,Senior Engineer ,Male,1,No,0
110440,66,5,Other degrees,Chennai,Services,Technical Manager ,Male,3,No,0
110445,54,5,B.Tech/B.E.,Chennai,Product Management,Assistant Vice-President ,Male,3,No,0
110479,60,5,MBA/PGDM,Bangalore,Support,Senior Engineer  ,Male,7,No,0
110482,31,5,MBA/PGDM,Hyderabad,Sales,Senior Engineer  ,Male,3,No,0
110485,40,5,Ph.D/Doctorate,Chennai,Support,Project Leader ,Female,3,No,0
110535,34,4,Other degrees,Ahmedabad,Human Resources,Project Leader ,Male,4,No,0
110537,38,2,M.Tech/M.E.,Bangalore,Marketing,Project Leader ,Male,3,Yes,1
110549,55,4,B.Tech/B.E.,Delhi,Services,Senior Lead Engineer ,Male,5,Yes,1
110551,28,5,Ph.D/Doctorate,Ahmedabad,Training,Project Leader ,Male,4,No,0
110579,32,5,Other degrees,Chennai,Services,Technical Lead ,Male,3,No,0
110580,33,4,Ph.D/Doctorate,Mumbai,Services,Associate Engineer  ,Female,5,Yes,1
110615,27,4,Ph.D/Doctorate,Hyderabad,Engineering,Senior Engineer  ,Male,2,Yes,1
110676,36,6,M.Tech/M.E.,Kolkata,Services,Technical Lead ,Male,2,No,0
110727,62,5,Other degrees,Kolkata,Sales,Engineer  ,Female,5,No,0
110728,30,4,MBA/PGDM,Mumbai,Engineering,Senior Engineer  ,Male,3,Yes,1
110732,47,5,MBA/PGDM,Kolkata,Legal,Engineer  ,Male,6,No,0
110737,57,5,B.Tech/B.E.,Bangalore,Human Resources,Senior Engineer  ,Female,5,No,0
110764,56,5,Other degrees,Bangalore,Human Resources,Manager ,Male,6,No,0
110765,34,5,M.Tech/M.E.,Delhi,Sales,Senior Engineer ,Male,3,No,0
110774,32,4,M.Tech/M.E.,Ahmedabad,Sales,Senior Engineer ,Male,5,Yes,1
110778,44,3,MBA/PGDM,Kolkata,Support,Technical Lead ,Male,6,Yes,1
110808,55,8,B.Tech/B.E.,Bangalore,Research and Development,Technical Lead ,Male,4,No,0
110811,30,5,B.Tech/B.E.,Bangalore,Services,Senior Engineer ,Female,5,No,0
110814,50,4,MBA/PGDM,Chennai,Marketing,Vice President ,Male,8,Yes,1
110832,32,0,Ph.D/Doctorate,Hyderabad,Product Management,Project Leader ,Male,2,No,0
110878,30,4,Other degrees,Hyderabad,Business Development,Lead Engineer  ,Female,3,No,0
110917,59,4,MBA/PGDM,Hyderabad,Sales,Senior Engineer  ,Female,4,No,0
110923,35,1,M.Tech/M.E.,Ahmedabad,Sales,Project Leader ,Male,4,Yes,1
110957,34,4,B.Tech/B.E.,Bangalore,Training,Senior Engineer  ,Male,1,No,0
110963,35,2,B.Tech/B.E.,Kolkata,Legal,Project Manager ,Male,5,No,0
110973,54,4,M.Tech/M.E.,Chennai,Human Resources,Engineer  ,Female,2,No,0
110993,37,4,Ph.D/Doctorate,Bangalore,Sales,Senior Engineer  ,Male,4,Yes,1
110995,32,6,Other degrees,Kolkata,Business Development,Lead Engineer ,Male,2,No,0
111022,57,4,MBA/PGDM,Kolkata,Sales,Engineer  ,Male,2,No,0
111025,57,4,Other degrees,Bangalore,Legal,Senior Lead Engineer ,Female,3,No,0
111035,31,4,Ph.D/Doctorate,Bangalore,Services,Senior Engineer ,Male,3,No,0
111039,32,4,B.Tech/B.E.,Mumbai,Research and Development,Assistant Manager ,Female,3,No,0
111126,29,4,Ph.D/Doctorate,Kolkata,Engineering,Senior Engineer ,Male,5,Yes,1
111132,31,4,Other degrees,Bangalore,Sales,Senior Engineer ,Male,2,No,0
111197,63,4,M.Tech/M.E.,Delhi,Services,Senior Lead Engineer  ,Male,2,Yes,1
111199,32,4,Ph.D/Doctorate,Bangalore,Engineering,Senior Engineer ,Male,4,Yes,1
111200,31,4,MBA/PGDM,Chennai,Human Resources,Project Leader ,Male,9,No,0
111300,57,4,B.Tech/B.E.,Hyderabad,Services,Senior Lead Engineer  ,Male,2,No,0
111306,38,4,B.Tech/B.E.,Hyderabad,Human Resources,Senior Associate - -,Female,5,No,0
111307,28,4,Other degrees,Kolkata,Sales,Senior Engineer ,Male,4,No,0
111309,32,1,Other degrees,Kolkata,Engineering,Senior Engineer ,Male,4,No,0
111329,33,4,M.Tech/M.E.,Kolkata,Services,Senior Engineer  ,Male,5,No,0
111333,64,4,Other degrees,Chennai,Legal,Lead Engineer  ,Female,3,No,0
111340,42,4,M.Tech/M.E.,Delhi,Engineering,Lead Engineer ,Male,3,No,0
111374,46,4,M.Tech/M.E.,Delhi,Engineering,Senior Director-Sales-,Male,5,No,0
111443,41,4,Ph.D/Doctorate,Ahmedabad,Human Resources,Project Leader ,Male,5,No,0
111447,66,4,M.Tech/M.E.,Bangalore,Human Resources,Senior Lead Engineer ,Male,3,No,0
111483,46,4,M.Tech/M.E.,Chennai,Sales,Technical Lead ,Male,3,No,0
111503,65,4,MBA/PGDM,Hyderabad,Research and Development,Project Manager ,Male,2,No,0
111504,49,4,MBA/PGDM,Chennai,Engineering,Principal Engineer ,Male,2,Yes,1
111520,31,4,Other degrees,Chennai,Engineering,Engineer  ,Male,3,No,0
111523,34,4,B.Tech/B.E.,Kolkata,Legal,Senior Engineer  ,Female,3,No,0
111570,39,4,MBA/PGDM,Chennai,Research and Development,Program Manager ,Male,4,Yes,1
111571,36,4,Other degrees,Kolkata,Research and Development,Project Leader ,Male,4,Yes,1
111597,43,4,M.Tech/M.E.,Chennai,Sales,Project Leader ,Male,2,No,0
111605,50,4,M.Tech/M.E.,Mumbai,Research and Development,Project Leader ,Female,1,No,0
111606,57,3,MBA/PGDM,Hyderabad,Human Resources,Program Manager ,Male,3,Yes,1
111621,59,4,Other degrees,Hyderabad,Training,Senior Engineer  ,Female,3,No,0
111624,37,4,MBA/PGDM,Chennai,Human Resources,Project Manager ,Female,5,No,0
111661,29,4,Ph.D/Doctorate,Bangalore,Human Resources,Project Leader ,Male,3,No,0
111668,27,4,B.Tech/B.E.,Chennai,Sales,Engineer  ,Male,0,Yes,1
111675,35,0,Ph.D/Doctorate,Ahmedabad,Business Development,Lead Engineer ,Male,2,No,0
111680,35,4,M.Tech/M.E.,Chennai,Legal,Senior Engineer ,Male,5,No,0
111683,31,4,MBA/PGDM,Kolkata,Research and Development,Project Leader ,Male,2,No,0
111686,62,4,Ph.D/Doctorate,Ahmedabad,Legal,Lead Engineer ,Male,4,No,0
111694,31,4,Ph.D/Doctorate,Mumbai,Human Resources,Senior Engineer  ,Male,2,No,0
111695,50,4,MBA/PGDM,Hyderabad,Sales,Senior Engineer ,Male,0,No,0
111699,31,4,Ph.D/Doctorate,Hyderabad,Sales,Senior Engineer  ,Female,3,Yes,1
111708,29,4,MBA/PGDM,Bangalore,Support,Engineer  ,Male,5,No,0
111712,38,4,Ph.D/Doctorate,Kolkata,Training,Senior Engineer  ,Male,5,No,0
111717,32,4,Ph.D/Doctorate,Kolkata,Sales,Senior Engineer ,Male,4,No,0
111745,43,4,Ph.D/Doctorate,Hyderabad,Product Management,Project Leader ,Female,2,No,0
111759,28,4,MBA/PGDM,Hyderabad,Human Resources,Senior Engineer  ,Male,3,No,0
111761,64,4,M.Tech/M.E.,Ahmedabad,Training,Senior Engineer ,Female,2,Yes,1
111763,50,4,B.Tech/B.E.,Delhi,Training,Principal Engineer ,Male,7,No,0
111771,64,4,B.Tech/B.E.,Chennai,Human Resources,Lead Engineer ,Male,4,No,0
111778,42,4,Other degrees,Bangalore,Training,Project Manager ,Male,2,No,0
111802,32,2,Other degrees,Bangalore,Business Development,Deputy Manager ,Male,5,No,0
111865,55,4,B.Tech/B.E.,Chennai,Sales,Senior Associate - -,Male,4,No,0
111874,28,1,MBA/PGDM,Delhi,Sales,Assistant Manager ,Female,4,No,0
111893,33,4,M.Tech/M.E.,Delhi,Support,Project Manager ,Male,0,No,0
111897,36,4,Other degrees,Chennai,Research and Development,Senior Engineer ,Male,4,No,0
111899,27,4,Other degrees,Chennai,Training,Senior Engineer  ,Male,3,No,0
111923,27,3,Other degrees,Hyderabad,Training,Engineer ,Male,4,Yes,1
111931,52,4,B.Tech/B.E.,Hyderabad,Support,Technical Manager ,Male,5,No,0
111933,32,4,M.Tech/M.E.,Ahmedabad,Engineering,Senior Engineer ,Male,5,No,0
111949,37,4,Other degrees,Hyderabad,Human Resources,Senior Engineer  ,Male,5,No,0
111964,72,4,M.Tech/M.E.,Bangalore,Legal,Technical Lead ,Male,5,No,0
111965,68,4,M.Tech/M.E.,Hyderabad,Research and Development,Lead Engineer  ,Male,3,No,0
111971,49,4,MBA/PGDM,Bangalore,Research and Development,Senior Engineer ,Female,3,No,0
111978,29,4,Ph.D/Doctorate,Chennai,Human Resources,Senior Engineer ,Male,2,No,0
111979,51,4,MBA/PGDM,Kolkata,Human Resources,Senior Lead Engineer ,Male,4,No,0
111980,28,3,B.Tech/B.E.,Delhi,Human Resources,Project Leader ,Male,3,Yes,1
111982,54,4,B.Tech/B.E.,Hyderabad,Human Resources,Technical Lead ,Male,3,No,0
112007,27,3,M.Tech/M.E.,Chennai,Human Resources,Technical Lead ,Male,3,Yes,1
112009,33,4,B.Tech/B.E.,Bangalore,Accounting,Senior Engineer ,Female,2,No,0
112011,26,4,Other degrees,Ahmedabad,Training,Senior Engineer ,Male,2,No,0
112013,33,4,Other degrees,Chennai,Engineering,Project Leader ,Male,2,Yes,1
112018,61,4,MBA/PGDM,Bangalore,Accounting,Senior Lead Engineer ,Male,3,No,0
112049,54,4,MBA/PGDM,Delhi,Services,Lead Engineer ,Male,3,No,0
112051,50,4,B.Tech/B.E.,Kolkata,Human Resources,Senior Engineer ,Male,1,No,0
112080,29,4,M.Tech/M.E.,Hyderabad,Training,Engineer  ,Male,2,No,0
112087,46,3,Ph.D/Doctorate,Chennai,Human Resources,Senior Engineer ,Female,2,Yes,1
112089,63,4,MBA/PGDM,Ahmedabad,Human Resources,Lead Engineer ,Male,2,Yes,1
112121,27,4,M.Tech/M.E.,Bangalore,Support,Senior Engineer ,Female,2,No,0
112155,38,0,B.Tech/B.E.,Chennai,Product Management,Project Manager ,Male,3,No,0
112157,29,0,Other degrees,Hyderabad,Services,Lead Engineer ,Male,2,No,0
112162,55,4,M.Tech/M.E.,Delhi,Human Resources,Senior Engineer ,Female,4,No,0
112166,46,4,MBA/PGDM,Kolkata,Human Resources,Lead Engineer ,Male,4,No,0
112168,75,3,MBA/PGDM,Bangalore,Services,Senior Lead Engineer  ,Male,6,Yes,1
112171,39,3,Ph.D/Doctorate,Hyderabad,Services,Technical Lead ,Male,4,Yes,1
112180,35,4,B.Tech/B.E.,Mumbai,Human Resources,Project Leader ,Male,4,No,0
112188,30,0,Other degrees,Mumbai,Legal,Project Leader ,Male,5,No,0
112196,37,4,M.Tech/M.E.,Bangalore,Human Resources,Engineer ,Female,4,No,0
112198,26,4,Other degrees,Chennai,Sales,Associate Engineer  ,Male,5,No,0
112199,41,4,B.Tech/B.E.,Chennai,Engineering,Project Leader ,Male,4,No,0
112206,32,4,M.Tech/M.E.,Ahmedabad,Sales,Lead Engineer ,Male,3,No,0
112207,31,4,Ph.D/Doctorate,Hyderabad,Sales,Engineer  ,Female,6,No,0
112218,33,4,B.Tech/B.E.,Hyderabad,Sales,Engineer  ,Male,6,No,0
112226,26,4,Ph.D/Doctorate,Chennai,Support,Senior Engineer ,Male,5,No,0
112253,31,4,Other degrees,Hyderabad,Human Resources,Associate Engineer ,Female,4,No,0
112257,48,4,Other degrees,Bangalore,Human Resources,Engineer  ,Female,5,No,0
112259,61,4,Other degrees,Bangalore,Human Resources,Lead Engineer ,Male,1,No,0
112261,25,3,Ph.D/Doctorate,Kolkata,Research and Development,Senior Engineer ,Male,5,Yes,1
112276,55,4,Other degrees,Delhi,Human Resources,Centre Manager ,Male,5,No,0
112297,29,4,B.Tech/B.E.,Chennai,Sales,Engineer  ,Male,2,No,0
112298,31,4,Other degrees,Delhi,Legal,Senior Engineer ,Male,3,No,0
112303,31,3,Ph.D/Doctorate,Bangalore,Human Resources,Senior Engineer  ,Male,4,Yes,1
112343,28,4,Ph.D/Doctorate,Ahmedabad,Sales,Senior Engineer ,Male,4,No,0
112350,31,3,B.Tech/B.E.,Bangalore,Support,Project Leader ,Female,5,Yes,1
112351,35,4,Other degrees,Chennai,Legal,Senior Engineer  ,Female,4,No,0
112353,46,4,M.Tech/M.E.,Delhi,Human Resources,Senior Engineer ,Male,6,No,0
112379,54,4,Other degrees,Kolkata,Human Resources,Senior Engineer ,Female,4,No,0
112385,57,4,MBA/PGDM,Ahmedabad,Engineering,Senior Engineer  ,Male,3,No,0
112387,28,4,M.Tech/M.E.,Hyderabad,Support,Senior Specialist-,Female,2,No,0
112411,32,4,MBA/PGDM,Bangalore,Sales,Senior Engineer  ,Male,3,No,0
112415,55,4,M.Tech/M.E.,Bangalore,Research and Development,Lead Engineer  ,Male,5,No,0
112427,63,4,B.Tech/B.E.,Ahmedabad,Sales,Senior Engineer ,Female,5,No,0
112444,29,4,MBA/PGDM,Ahmedabad,Legal,Senior Engineer  ,Male,4,No,0
112445,31,4,M.Tech/M.E.,Delhi,Marketing,Project Leader ,Male,4,No,0
112449,32,3,Other degrees,Delhi,Sales,Project Leader ,Male,4,Yes,1
112452,30,4,M.Tech/M.E.,Kolkata,Sales,Engineer  ,Male,0,No,0
112499,27,4,Other degrees,Chennai,Sales,Engineer ,Male,3,No,0
112500,28,3,M.Tech/M.E.,Hyderabad,Training,Senior Engineer ,Male,5,Yes,1
112502,57,4,B.Tech/B.E.,Delhi,Sales,Senior Engineer  ,Male,1,No,0
112505,42,4,Ph.D/Doctorate,Ahmedabad,Human Resources,Program Manager ,Male,7,No,0
112507,35,4,M.Tech/M.E.,Chennai,Sales,Senior Lead Engineer ,Male,1,No,0
112508,38,4,M.Tech/M.E.,Hyderabad,Sales,Senior Lead Engineer ,Male,2,Yes,1
112513,28,4,M.Tech/M.E.,Ahmedabad,Marketing,Senior Associate - -,Male,4,No,0
112514,26,3,MBA/PGDM,Bangalore,Support,Engineer  ,Male,3,Yes,1
112516,55,4,M.Tech/M.E.,Hyderabad,Support,Sr. Director of Strategic Account management,Male,1,No,0
112601,26,4,M.Tech/M.E.,Delhi,Support,Senior Engineer ,Male,5,No,0
112603,62,4,Ph.D/Doctorate,Delhi,Sales,Lead Engineer  ,Male,4,No,0
112612,34,2,M.Tech/M.E.,Mumbai,Marketing,Technical Lead ,Male,5,Yes,1
112638,35,4,Ph.D/Doctorate,Bangalore,Sales,Project Leader ,Male,5,No,0
112690,30,3,MBA/PGDM,Mumbai,Sales,Senior Engineer ,Male,0,Yes,1
112691,32,4,Other degrees,Bangalore,Sales,Senior Engineer ,Male,6,No,0
112803,27,4,Other degrees,Chennai,Product Management,Senior Engineer ,Male,3,No,0
112804,28,4,Ph.D/Doctorate,Hyderabad,Sales,Engineer  ,Male,1,No,0
112813,38,4,MBA/PGDM,Delhi,Sales,Project Leader ,Female,2,No,0
112814,44,4,Other degrees,Hyderabad,Training,Centre Manager ,Male,4,No,0
112829,35,4,Other degrees,Hyderabad,Business Development,Project Leader ,Male,0,No,0
112833,34,4,M.Tech/M.E.,Delhi,Sales,Associate Engineer  ,Male,1,No,0
112834,30,4,Ph.D/Doctorate,Hyderabad,Training,Engineer  ,Male,3,No,0
112838,34,4,M.Tech/M.E.,Kolkata,Services,Lead Engineer ,Male,1,No,0
112840,35,4,Other degrees,Chennai,Legal,Project Leader ,Female,4,No,0
112841,27,4,M.Tech/M.E.,Mumbai,Training,Senior Engineer ,Male,1,No,0
112858,26,4,Ph.D/Doctorate,Delhi,Legal,Project Leader ,Female,4,No,0
112859,40,4,Ph.D/Doctorate,Bangalore,Legal,Engineer  ,Male,5,No,0
112863,60,3,B.Tech/B.E.,Hyderabad,Services,Senior Engineer ,Female,1,Yes,1
112885,27,3,B.Tech/B.E.,Ahmedabad,Support,Engineer ,Male,4,No,0
112897,64,3,Ph.D/Doctorate,Bangalore,Business Development,Senior Lead Engineer  ,Male,4,Yes,1
112898,30,3,Ph.D/Doctorate,Kolkata,Sales,Senior Engineer ,Male,4,No,0
112994,26,3,Other degrees,Hyderabad,Training,Senior Engineer ,Male,1,Yes,1
112996,28,3,Ph.D/Doctorate,Delhi,Human Resources,Program Manager ,Female,2,No,0
113020,77,3,Ph.D/Doctorate,Hyderabad,Accounting,Senior Engineer ,Male,2,No,0
113029,45,3,MBA/PGDM,Hyderabad,Services,Senior Lead Engineer ,Male,5,Yes,1
113030,35,3,B.Tech/B.E.,Kolkata,Sales,Project Leader ,Male,3,No,0
113031,51,3,Other degrees,Chennai,Engineering,Senior Lead Engineer ,Male,3,No,0
113034,26,3,Other degrees,Kolkata,Legal,Senior Engineer  ,Male,8,No,0
113036,31,3,M.Tech/M.E.,Delhi,Human Resources,Engineer  ,Female,1,Yes,1
113070,42,3,MBA/PGDM,Bangalore,Engineering,Senior Engineer  ,Female,1,No,0
113073,26,3,M.Tech/M.E.,Chennai,Human Resources,Senior Engineer  ,Male,3,No,0
113095,45,3,Other degrees,Bangalore,Human Resources,Senior Engineer ,Male,7,No,0
113099,30,3,Other degrees,Chennai,Research and Development,Senior Engineer ,Male,2,Yes,1
113119,32,0,Ph.D/Doctorate,Ahmedabad,Services,Senior Engineer ,Male,2,No,0
113125,38,0,MBA/PGDM,Chennai,Research and Development,Project Leader ,Female,2,Yes,1
113129,55,3,MBA/PGDM,Bangalore,Sales,Senior Lead Engineer ,Male,5,No,0
113130,33,3,B.Tech/B.E.,Delhi,Human Resources,Senior Engineer  ,Male,2,No,0
113133,44,3,M.Tech/M.E.,Delhi,Training,Associate Engineer  ,Female,3,No,0
113136,30,3,M.Tech/M.E.,Bangalore,Human Resources,Engineer  ,Male,5,No,0
113168,34,3,B.Tech/B.E.,Kolkata,Human Resources,Senior Engineer  ,Male,5,No,0
113178,37,3,MBA/PGDM,Delhi,Legal,Engineer  ,Female,5,Yes,1
113184,35,3,M.Tech/M.E.,Hyderabad,Sales,Engineer  ,Female,5,Yes,1
113228,32,3,B.Tech/B.E.,Chennai,Human Resources,Technical Lead ,Male,3,No,0
113230,27,3,Ph.D/Doctorate,Bangalore,Human Resources,Engineer ,Male,7,Yes,1
113232,27,3,M.Tech/M.E.,Mumbai,Sales,Engineer  ,Male,2,Yes,1
113234,29,3,B.Tech/B.E.,Chennai,Human Resources,Senior Engineer  ,Male,5,No,0
113235,67,3,B.Tech/B.E.,Kolkata,Marketing,Senior Lead Engineer ,Male,5,Yes,1
113255,30,3,Ph.D/Doctorate,Ahmedabad,Human Resources,Senior Engineer ,Male,3,No,0
113260,28,3,B.Tech/B.E.,Delhi,Business Development,Senior Engineer  ,Female,2,Yes,1
113285,28,3,Ph.D/Doctorate,Delhi,Business Development,Engineer  ,Male,3,No,0
113287,45,3,B.Tech/B.E.,Chennai,Human Resources,Senior Engineer ,Female,5,No,0
113292,42,3,Other degrees,Ahmedabad,Business Development,Technical Manager ,Male,5,Yes,1
113295,43,3,B.Tech/B.E.,Delhi,Human Resources,Engineer ,Female,5,No,0
113296,34,3,Other degrees,Hyderabad,Research and Development,Senior Engineer ,Male,4,No,0
113297,27,3,Ph.D/Doctorate,Ahmedabad,Accounting,Senior Engineer ,Female,1,No,0
113298,30,3,Ph.D/Doctorate,Bangalore,Training,Senior Engineer ,Male,0,Yes,1
113350,43,0,Other degrees,Bangalore,Research and Development,Centre Manager ,Male,1,No,0
113395,46,4,B.Tech/B.E.,Hyderabad,Sales,Senior Manager ,Male,3,Yes,1
113416,38,0,Ph.D/Doctorate,Hyderabad,Product Management,Program Manager ,Male,1,No,0
113444,37,4,M.Tech/M.E.,Hyderabad,Product Management,Sr. Technical Architect - ,Male,3,No,0
113446,37,2,Other degrees,Kolkata,Product Management,Technical Architect-,Male,3,No,0
113472,37,4,MBA/PGDM,Bangalore,Support,Program Manager ,Male,5,No,0
113480,40,0,Other degrees,Bangalore,Product Management,Program Manager ,Male,3,No,0
113487,41,3,Other degrees,Hyderabad,Legal,Principal Engineer ,Male,3,No,0
113509,38,4,Ph.D/Doctorate,Ahmedabad,Product Management,Technical Architect-,Male,4,No,0
113542,41,3,Ph.D/Doctorate,Bangalore,Product Management,Project Manager ,Male,4,Yes,1
113545,40,3,B.Tech/B.E.,Chennai,Accounting,Program Manager ,Male,3,No,0
113581,37,4,Other degrees,Hyderabad,Support,Project Manager ,Male,4,No,0
113584,35,3,M.Tech/M.E.,Mumbai,Support,Sr. Technical Architect - ,Male,4,No,0
113587,39,3,M.Tech/M.E.,Bangalore,Product Management,Lead Engineer ,Male,4,Yes,1
113589,35,1,Other degrees,Chennai,Product Management,Technical Architect-,Male,3,No,0
113592,44,4,B.Tech/B.E.,Bangalore,Legal,Sr. Technical Architect - ,Male,4,No,0
113593,43,4,MBA/PGDM,Ahmedabad,Product Management,Project Manager ,Male,4,Yes,1
113603,42,2,M.Tech/M.E.,Hyderabad,Product Management,Program Manager ,Male,5,No,0
113608,33,3,MBA/PGDM,Delhi,Legal,Technical Lead ,Male,2,No,0
113628,37,4,Ph.D/Doctorate,Chennai,Business Development,Project Manager ,Male,2,No,0
113641,40,1,Other degrees,Chennai,Product Management,Project Manager ,Male,2,No,0
113645,34,1,Ph.D/Doctorate,Kolkata,Product Management,Project Leader ,Female,5,No,0
113664,36,4,M.Tech/M.E.,Delhi,Product Management,Project Manager ,Male,5,No,0
113682,36,3,Ph.D/Doctorate,Kolkata,Human Resources,Project Leader ,Male,4,No,0
113691,36,3,MBA/PGDM,Hyderabad,Product Management,Senior Lead Engineer ,Male,2,No,0
113698,33,4,M.Tech/M.E.,Hyderabad,Product Management,Lead Engineer ,Female,5,No,0
113715,34,4,Other degrees,Chennai,Product Management,Senior Lead Engineer ,Male,7,No,0
113731,45,3,M.Tech/M.E.,Ahmedabad,Legal,Sr. Technical Architect - ,Male,2,No,0
113736,34,0,M.Tech/M.E.,Delhi,Research and Development,Project Leader ,Female,5,No,0
113750,40,3,B.Tech/B.E.,Delhi,Sales,Manager ,Male,3,No,0
113794,36,4,M.Tech/M.E.,Hyderabad,Product Management,Senior Lead Engineer ,Male,3,No,0
113843,36,3,M.Tech/M.E.,Ahmedabad,Product Management,Senior Lead Engineer ,Male,4,No,0
113848,32,0,M.Tech/M.E.,Ahmedabad,Support,Project Manager ,Male,4,No,0
113872,33,4,Ph.D/Doctorate,Hyderabad,Product Management,Lead Engineer ,Male,2,No,0
113897,32,4,MBA/PGDM,Hyderabad,Product Management,Lead Engineer ,Male,4,Yes,1
113913,30,2,B.Tech/B.E.,Delhi,Support,Technical Lead ,Male,1,Yes,1
113962,32,1,B.Tech/B.E.,Hyderabad,Business Development,Technical Lead ,Male,2,Yes,1
113983,31,4,Ph.D/Doctorate,Ahmedabad,Accounting,Lead Engineer ,Male,5,No,0
113990,32,4,Ph.D/Doctorate,Delhi,Human Resources,Lead Engineer ,Male,5,No,0
114004,35,0,Other degrees,Mumbai,Support,Project Leader ,Male,4,No,0
114005,32,0,M.Tech/M.E.,Chennai,Support,Project Leader ,Male,5,No,0
114016,32,3,Other degrees,Mumbai,Product Management,Lead Engineer ,Male,3,No,0
114052,30,2,Other degrees,Bangalore,Product Management,Lead Engineer ,Male,6,No,0
114074,38,0,B.Tech/B.E.,Chennai,Accounting,Project Leader ,Male,3,No,0
114097,31,3,M.Tech/M.E.,Chennai,Product Management,Lead Engineer ,Male,5,Yes,1
114117,29,1,M.Tech/M.E.,Ahmedabad,Support,Technical Lead ,Female,1,No,0
114130,29,0,Ph.D/Doctorate,Chennai,Product Management,Project Leader ,Male,3,No,0
114193,33,4,M.Tech/M.E.,Mumbai,Product Management,Technical Lead ,Male,2,No,0
114282,35,2,M.Tech/M.E.,Ahmedabad,Accounting,Lead Engineer ,Male,4,No,0
