age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,AnnualIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27,No,Non-Travel,1276,Mechanical Systems/Design & Development,16,3,Technical Degree,1,439,4,Male,54,1,2,Senior Engineer ,4,Married,9360,112320,4,Yes,Yes,18,1,3,40,0,4,2,3,4,1,1,1
26,No,Non-Travel,534,Mechanical Systems/Engineering Analysis,20,3,Technical Degree,1,440,1,Female,59,2,2,Project Leader ,3,Married,10227,122720,3,Yes,No,17,3,4,40,0,4,2,1,4,1,1,1
40,No,Non-Travel,988,Lifecycle Solutions/Engineering Process Services,23,3,Technical Degree,1,441,2,Male,56,4,2,Engineer  ,2,Divorced,9707,116480,4,Yes,Yes,14,1,4,40,3,4,2,2,4,1,1,1
27,No,Non-Travel,1474,Mechanical Systems/Manufacturing Engineering,5,3,Technical Degree,1,442,2,Male,51,2,2,Engineer ,2,Married,8840,106080,5,Yes,No,25,1,1,40,1,3,4,2,3,1,1,1
30,No,Non-Travel,635,Mechanical Systems/Engineering Analysis,10,3,Technical Degree,1,443,2,Male,53,4,2,Senior Engineer ,2,Married,9187,110240,5,Yes,No,19,4,2,40,0,3,3,2,3,1,1,1
28,No,Non-Travel,1368,Lifecycle Solutions/Engineering Process Services,4,3,Technical Degree,1,444,3,Female,79,4,3,Program Manager ,1,Married,13693,164320,5,Yes,No,17,3,1,40,0,3,3,2,3,1,1,1
77,No,Non-Travel,163,Mechanical Systems/Detail Engineering,2,3,Technical Degree,1,445,2,Male,56,3,2,Senior Engineer ,4,Married,9707,116480,5,Yes,No,25,4,2,40,1,3,2,4,3,1,1,1
35,No,Non-Travel,1117,Mechanical Systems/Technical Data Services,18,3,Technical Degree,1,446,1,Male,55,4,2,Project Leader ,2,Married,9533,114400,3,Yes,No,17,1,4,40,0,3,2,1,3,1,1,1
51,No,Non-Travel,267,Mechanical Systems/Engineering Analysis,10,3,Technical Degree,1,447,4,Male,57,3,2,Senior Lead Engineer ,3,Married,9880,118560,3,Yes,No,24,1,2,40,0,3,3,3,3,1,1,1
26,No,Non-Travel,619,Lifecycle Solutions/Engineering Process Services,1,3,Technical Degree,1,448,2,Male,60,2,2,Senior Engineer  ,4,Married,10400,124800,2,Yes,No,22,3,4,40,0,3,2,1,3,1,1,1
42,No,Non-Travel,302,Lifecycle Solutions/Supply Chain Solutions,6,3,Technical Degree,1,449,2,Female,56,2,2,Senior Engineer  ,4,Married,9707,116480,4,Yes,No,11,2,2,40,0,3,3,2,3,1,1,1
26,No,Non-Travel,443,Lifecycle Solutions/Engineering Process Services,8,3,Technical Degree,1,450,3,Male,50,3,2,Senior Engineer  ,3,Married,8667,104000,3,Yes,No,23,1,2,40,1,3,3,4,3,1,1,1
45,No,Non-Travel,828,Lifecycle Solutions/Engineering Process Services,2,3,Technical Degree,1,451,2,Male,55,3,2,Senior Engineer ,3,Married,9533,114400,3,Yes,Yes,14,1,1,40,0,3,2,3,3,1,1,1
32,No,Non-Travel,319,Mechanical Systems/Design & Development,24,3,Technical Degree,1,452,4,Male,56,1,2,Senior Engineer ,2,Married,9707,116480,3,Yes,Yes,14,1,2,40,1,0,5,2,0,0,0,0
55,No,Non-Travel,561,Mechanical Systems/Design & Development,2,3,Technical Degree,1,453,4,Male,56,3,2,Senior Lead Engineer ,4,Married,9707,116480,2,Yes,No,21,4,2,40,1,3,3,3,3,1,1,1
33,No,Non-Travel,426,Lifecycle Solutions/Supply Chain Solutions,17,3,Technical Degree,1,454,2,Male,58,1,2,Senior Engineer  ,4,Divorced,10053,120640,2,Yes,Yes,24,3,1,40,1,3,2,3,3,1,1,1
44,No,Non-Travel,232,Lifecycle Solutions/Engineering Process Services,19,3,Technical Degree,1,455,4,Female,52,4,2,Associate Engineer  ,1,Divorced,9013,108160,2,Yes,No,16,2,3,40,2,3,2,1,3,1,1,1
30,No,Non-Travel,922,Lifecycle Solutions/Supply Chain Solutions,1,3,Technical Degree,1,456,1,Male,51,1,2,Engineer  ,2,Divorced,8840,106080,3,Yes,No,24,1,4,40,1,3,2,4,3,1,1,1
34,No,Non-Travel,688,Lifecycle Solutions/Engineering Process Services,7,3,Technical Degree,1,457,3,Male,50,4,2,Senior Engineer  ,2,Divorced,8667,104000,3,Yes,No,24,2,3,40,1,3,3,2,3,1,1,1
32,No,Non-Travel,1306,Lifecycle Solutions/Supply Chain Solutions,5,3,Technical Degree,1,458,2,Male,56,4,2,Technical Lead ,1,Married,9707,116480,1,Yes,Yes,15,4,4,40,0,3,3,1,3,1,1,1
29,No,Non-Travel,1094,Lifecycle Solutions/Engineering Process Services,28,3,Technical Degree,1,459,3,Male,59,1,2,Senior Engineer  ,2,Divorced,10227,122720,2,Yes,No,21,3,2,40,1,3,2,4,3,1,1,1
30,No,Non-Travel,509,Mechanical Systems/After Market Services,2,3,Technical Degree,1,460,1,Male,56,1,2,Senior Engineer ,3,Married,9707,116480,2,Yes,Yes,21,1,2,40,0,3,3,3,3,1,1,1
28,No,Non-Travel,775,Mechanical Systems/After Market Services,29,3,Technical Degree,1,461,1,Male,50,3,2,Engineer  ,4,Divorced,8667,104000,2,Yes,No,13,4,4,40,2,3,5,2,3,1,1,1
45,No,Non-Travel,195,Lifecycle Solutions/Supply Chain Solutions,1,3,Technical Degree,1,462,1,Female,57,2,2,Senior Engineer ,3,Married,9880,118560,2,Yes,No,25,1,4,40,0,3,3,1,3,1,1,1
43,No,Non-Travel,258,Lifecycle Solutions/Engineering Process Services,21,3,Technical Degree,1,463,4,Female,51,3,2,Engineer ,2,Married,8840,106080,3,Yes,No,21,4,3,40,0,3,3,4,3,1,1,1
34,No,Non-Travel,471,Mechanical Systems/Design & Development,24,3,Technical Degree,1,464,3,Male,51,4,2,Senior Engineer ,1,Married,8840,106080,2,Yes,Yes,22,3,3,40,0,3,3,2,3,1,1,1
27,No,Non-Travel,799,Lifecycle Solutions/Engineering Process Services,1,3,Technical Degree,1,465,2,Female,55,2,2,Senior Engineer ,4,Married,9533,114400,4,Yes,No,11,3,3,40,0,3,3,3,3,1,1,1
43,No,Non-Travel,1034,Program Management,18,4,Project Management,1,466,1,Male,68,2,3,Centre Manager ,2,Married,11787,141440,4,Yes,No,19,2,3,40,0,0,3,3,0,0,0,0
38,No,Non-Travel,1276,Program Management,2,4,Project Management,1,467,2,Male,69,3,3,Program Manager ,2,Married,11960,143520,6,Yes,No,20,1,3,40,1,0,2,1,0,0,0,0
37,No,Non-Travel,142,Program Management,9,4,Project Management,1,468,1,Male,68,2,3,Sr. Technical Architect - ,4,Divorced,11787,141440,4,Yes,No,15,3,3,40,1,4,6,4,4,1,1,1
37,No,Non-Travel,956,Engineering Software,6,3,Technical Degree,1,469,4,Male,66,1,3,Technical Architect-,3,Divorced,11440,137280,4,Yes,Yes,15,4,2,40,2,2,3,3,2,1,1,1
37,No,Non-Travel,1474,Program Management,11,4,Project Management,1,470,4,Male,78,3,3,Program Manager ,1,Married,13520,162240,5,Yes,No,11,1,3,40,0,4,2,4,4,1,1,1
40,No,Non-Travel,535,Program Management,24,4,Project Management,1,471,4,Male,76,1,3,Program Manager ,4,Married,13173,158080,4,Yes,No,15,3,2,40,2,0,3,3,0,0,0,0
41,No,Non-Travel,1495,Engineering Software,10,3,Technical Degree,1,472,3,Male,59,2,4,Principal Engineer ,1,Married,10227,122720,5,Yes,No,18,1,2,40,1,3,4,3,3,1,1,1
38,No,Non-Travel,446,Engineering Software,1,3,Technical Degree,1,473,2,Male,60,2,3,Technical Architect-,4,Married,10400,124800,4,Yes,No,16,2,3,40,1,4,2,3,4,1,1,1
40,No,Non-Travel,1245,Program Management,18,4,Project Management,1,474,4,Male,67,3,3,Program Manager ,4,Divorced,11613,139360,3,Yes,Yes,15,3,2,40,1,3,5,3,3,1,1,1
37,No,Non-Travel,691,Embedded Systems & Electronics,23,3,Technical Degree,1,475,2,Male,65,3,3,Project Manager ,4,Married,11267,135200,6,Yes,Yes,14,1,4,40,2,4,3,1,4,1,1,1
35,No,Non-Travel,703,Embedded Systems & Electronics,28,3,Technical Degree,1,476,1,Male,74,1,3,Sr. Technical Architect - ,3,Married,12827,153920,6,Yes,No,16,4,3,40,2,3,5,1,3,1,1,1
35,No,Non-Travel,823,Engineering Software,17,3,Technical Degree,1,477,4,Male,71,1,3,Technical Architect-,1,Married,12307,147680,5,Yes,No,11,2,4,40,1,1,2,2,1,0,0,0
44,No,Non-Travel,1246,Engineering Software,3,3,Technical Degree,1,478,1,Male,63,3,3,Sr. Technical Architect - ,2,Married,10920,131040,4,Yes,No,14,3,3,40,1,4,2,4,4,1,1,1
42,No,Non-Travel,622,Program Management,13,4,Project Management,1,479,2,Male,65,4,3,Program Manager ,3,Married,11267,135200,5,Yes,No,15,4,4,40,0,2,1,2,2,1,1,1
33,No,Non-Travel,1287,Engineering Software,7,3,Technical Degree,1,480,1,Male,53,3,2,Technical Lead ,1,Married,9187,110240,1,Yes,Yes,12,1,4,40,1,3,4,4,3,1,1,1
37,No,Non-Travel,448,Engineering Software,12,3,Technical Degree,1,481,2,Male,66,3,3,Project Manager ,2,Married,11440,137280,5,Yes,No,22,4,2,40,1,4,2,1,4,1,1,1
40,No,Non-Travel,254,Engineering Software,1,3,Technical Degree,1,482,2,Male,75,4,3,Project Manager ,3,Married,13000,156000,5,Yes,Yes,13,4,2,40,1,1,3,3,1,0,0,0
34,No,Non-Travel,1365,Engineering Software,13,3,Technical Degree,1,483,2,Female,59,1,2,Project Leader ,4,Divorced,10227,122720,2,Yes,No,21,2,3,40,0,1,2,4,1,0,0,0
36,No,Non-Travel,538,Engineering Software,25,3,Technical Degree,1,484,1,Male,80,3,3,Project Manager ,2,Married,13867,166400,3,Yes,No,20,4,3,40,0,4,3,3,4,1,1,1
36,No,Non-Travel,525,Engineering Software,6,3,Technical Degree,1,485,1,Male,52,2,2,Project Leader ,1,Divorced,9013,108160,4,Yes,No,25,2,3,40,2,3,4,1,3,1,1,1
36,No,Non-Travel,798,Engineering Software,6,3,Technical Degree,1,486,1,Male,57,2,2,Senior Lead Engineer ,4,Divorced,9880,118560,4,Yes,No,16,4,2,40,2,3,5,3,3,1,1,1
33,No,Non-Travel,558,Engineering Software,2,3,Technical Degree,1,487,4,Female,56,4,2,Lead Engineer ,3,Married,9707,116480,5,Yes,Yes,13,1,3,40,1,4,3,4,4,1,1,1
34,No,Non-Travel,959,Engineering Software,1,3,Technical Degree,1,488,4,Male,51,1,2,Senior Lead Engineer ,2,Married,8840,106080,4,Yes,No,25,2,3,40,0,4,0,2,4,1,1,1
45,No,Non-Travel,622,Engineering Software,2,3,Technical Degree,1,489,3,Male,66,3,3,Sr. Technical Architect - ,3,Married,11440,137280,6,Yes,No,12,2,1,40,2,3,4,4,3,1,1,1
34,No,Non-Travel,782,Engineering Software,6,3,Technical Degree,1,490,2,Female,58,4,2,Project Leader ,3,Divorced,10053,120640,4,Yes,Yes,17,3,2,40,1,0,3,2,0,0,0,0
40,No,Non-Travel,362,Sales,1,4,Project Management,1,491,3,Male,64,4,3,Manager ,2,Married,11093,133120,3,Yes,No,22,1,4,40,0,3,3,2,3,1,1,1
36,No,Non-Travel,1001,Engineering Software,9,3,Technical Degree,1,492,4,Male,57,2,2,Senior Lead Engineer ,1,Divorced,9880,118560,2,Yes,Yes,17,2,4,40,1,4,3,1,4,1,1,1
36,No,Non-Travel,1236,Engineering Software,1,3,Technical Degree,1,493,4,Male,50,3,2,Senior Lead Engineer ,3,Married,8667,104000,3,Yes,No,14,3,3,40,1,3,3,4,3,1,1,1
32,No,Non-Travel,1112,Embedded Systems & Electronics,1,3,Technical Degree,1,494,1,Male,80,3,3,Project Manager ,1,Married,13867,166400,5,Yes,No,15,4,3,40,0,0,1,3,0,0,0,0
33,No,Non-Travel,204,Engineering Software,14,3,Technical Degree,1,495,3,Male,57,2,2,Lead Engineer ,2,Divorced,9880,118560,5,Yes,Yes,20,1,2,40,2,4,3,4,4,1,1,1
31,No,Non-Travel,1420,Engineering Software,2,3,Technical Degree,1,496,3,Male,60,3,2,Lead Engineer ,4,Divorced,10400,124800,4,Yes,No,24,1,4,40,1,4,3,2,4,1,1,1
32,No,Non-Travel,1343,Engineering Software,22,3,Technical Degree,1,497,3,Male,60,1,2,Lead Engineer ,2,Married,10400,124800,4,Yes,No,25,2,4,40,0,4,2,4,4,1,1,1
35,No,Non-Travel,1315,Engineering Software,3,3,Technical Degree,1,498,4,Male,58,4,2,Project Leader ,4,Married,10053,120640,4,Yes,Yes,24,1,2,40,1,0,2,3,0,0,0,0
32,No,Non-Travel,604,Engineering Software,6,3,Technical Degree,1,499,1,Male,58,3,2,Project Leader ,2,Married,10053,120640,0,Yes,No,24,3,2,40,0,0,3,1,0,0,0,0
32,No,Non-Travel,1216,Engineering Software,8,3,Technical Degree,1,500,3,Male,54,4,2,Lead Engineer ,2,Divorced,9360,112320,3,Yes,No,15,3,3,40,0,3,3,2,3,1,1,1
30,No,Non-Travel,646,Engineering Software,9,3,Technical Degree,1,501,1,Male,58,2,2,Lead Engineer ,4,Married,10053,120640,5,Yes,Yes,17,3,1,40,1,2,2,1,2,1,1,1
38,No,Non-Travel,160,Engineering Software,3,3,Technical Degree,1,502,3,Male,55,4,2,Project Leader ,2,Divorced,9533,114400,1,Yes,No,20,4,3,40,1,0,2,4,0,0,0,0
29,No,Non-Travel,238,Engineering Software,1,3,Technical Degree,1,503,4,Female,53,4,2,Technical Lead ,3,Married,9187,110240,7,Yes,No,16,2,2,40,0,1,2,3,1,0,0,0
29,No,Non-Travel,1397,Engineering Software,1,3,Technical Degree,1,504,2,Male,50,4,2,Project Leader ,2,Married,8667,104000,1,Yes,No,21,1,1,40,1,0,4,1,0,0,0,0
33,No,Non-Travel,306,Engineering Software,26,3,Technical Degree,1,505,1,Male,53,1,2,Technical Lead ,2,Married,9187,110240,2,Yes,No,19,3,4,40,2,4,4,2,4,1,1,1
35,No,Non-Travel,991,Engineering Software,6,3,Technical Degree,1,506,3,Male,52,4,2,Lead Engineer ,2,Married,9013,108160,4,Yes,Yes,21,3,1,40,1,2,2,1,2,1,1,1
33,No,Non-Travel,482,Engineering Software,3,3,Technical Degree,1,507,3,Male,51,3,2,Lead Engineer ,4,Married,8840,106080,3,Yes,No,19,4,1,40,1,2,2,4,2,1,1,1
30,No,Non-Travel,1176,Engineering Software,3,3,Technical Degree,1,508,2,Male,59,2,2,Project Leader ,2,Married,10227,122720,1,Yes,No,18,3,1,40,1,0,5,1,0,0,0,0
31,No,Non-Travel,1017,Engineering Software,6,3,Technical Degree,1,509,2,Male,51,3,2,Lead Engineer ,4,Married,8840,106080,5,Yes,No,13,3,4,40,0,0,3,4,0,0,0,0
32,No,Non-Travel,1296,Engineering Software,6,3,Technical Degree,1,510,3,Male,53,4,2,Senior Engineer ,3,Divorced,9187,110240,4,Yes,No,14,2,4,40,1,1,2,1,1,0,0,0
30,No,Non-Travel,397,Engineering Software,19,3,Technical Degree,1,511,3,Male,58,3,2,Senior Engineer ,2,Married,10053,120640,5,Yes,No,25,3,1,40,1,0,1,1,0,0,0,0
31,No,Non-Travel,913,Embedded Systems & Electronics,9,3,Technical Degree,1,512,2,Male,51,3,2,Lead Engineer ,4,Divorced,8840,106080,5,Yes,Yes,19,1,2,40,1,2,2,3,2,1,1,1
34,No,Non-Travel,1115,Engineering Software,3,3,Technical Degree,1,513,1,Male,54,3,2,Project Leader ,4,Married,9360,112320,0,Yes,No,22,1,1,40,0,3,0,2,3,1,1,1
36,No,Non-Travel,1362,Engineering Software,10,3,Technical Degree,1,514,4,Male,73,3,3,Project Manager ,1,Married,12653,151840,6,Yes,Yes,24,2,1,40,0,0,5,2,0,0,0,0
27,No,Non-Travel,1076,Engineering Software,3,3,Technical Degree,1,515,1,Female,54,3,2,Senior Engineer ,2,Married,9360,112320,3,Yes,Yes,17,2,4,40,0,0,3,1,0,0,0,0
32,No,Non-Travel,727,Engineering Software,3,3,Technical Degree,1,516,3,Male,53,1,2,Project Leader ,2,Married,9187,110240,1,Yes,No,15,3,3,40,2,0,3,2,0,0,0,0
31,No,Non-Travel,885,Embedded Systems & Electronics,4,3,Technical Degree,1,517,1,Male,53,1,2,Technical Lead ,2,Married,9187,110240,2,Yes,No,21,3,2,40,1,1,3,4,1,0,0,0
35,No,Non-Travel,810,Engineering Software,8,3,Technical Degree,1,518,4,Male,64,3,3,Project Manager ,3,Married,11093,133120,4,Yes,No,19,4,1,40,1,0,4,1,0,0,0,0
30,No,Non-Travel,243,Engineering Software,7,3,Technical Degree,1,519,4,Male,58,3,2,Project Leader ,3,Married,10053,120640,0,Yes,No,24,4,2,40,0,1,2,2,1,0,0,0
29,No,Non-Travel,806,Engineering Software,1,3,Technical Degree,1,520,2,Male,57,2,2,Technical Lead ,1,Divorced,9880,118560,1,Yes,No,11,4,1,40,1,1,5,4,1,0,0,0
35,No,Non-Travel,817,Engineering Software,2,3,Technical Degree,1,521,2,Male,54,1,2,Project Leader ,1,Married,9360,112320,3,Yes,No,17,1,4,40,0,0,3,3,0,0,0,0
32,No,Non-Travel,1410,Engineering Software,3,3,Technical Degree,1,522,4,Male,57,1,2,Project Leader ,1,Divorced,9880,118560,1,Yes,Yes,25,1,3,40,2,0,3,1,0,0,0,0
54,No,Non-Travel,1225,Lifecycle Solutions/Engineering Process Services,10,3,Technical Degree,1,523,4,Male,76,1,3,Project Manager ,3,Married,13173,158080,4,Yes,No,17,1,1,40,0,3,2,4,3,1,1,1
27,No,Non-Travel,1207,Lifecycle Solutions/Supply Chain Solutions,28,3,Technical Degree,1,524,4,Female,50,2,2,Project Leader ,1,Married,8667,104000,1,Yes,Yes,11,4,2,40,3,3,3,2,3,1,1,1
36,No,Non-Travel,1442,Lifecycle Solutions/Engineering Process Services,9,3,Technical Degree,1,525,4,Male,58,4,2,Senior Engineer  ,1,Married,10053,120640,4,Yes,No,14,4,1,40,0,3,3,1,3,1,1,1
27,No,Non-Travel,693,Mechanical Systems/Engineering Analysis,3,3,Technical Degree,1,526,1,Male,57,3,2,Engineer ,1,Single,9880,118560,5,Yes,No,12,1,1,40,0,3,3,2,3,1,1,1
41,No,Non-Travel,408,Lifecycle Solutions/Supply Chain Solutions,2,3,Technical Degree,1,527,4,Male,58,1,2,Project Leader ,1,Married,10053,120640,1,Yes,No,21,2,1,40,0,3,4,2,3,1,1,1
32,No,Non-Travel,929,Mechanical Systems/Manufacturing Engineering,10,3,Technical Degree,1,528,4,Male,53,3,2,Associate Engineer  ,3,Married,9187,110240,4,Yes,No,11,2,2,40,0,3,2,1,3,1,1,1
64,No,Non-Travel,562,Program Management,8,4,Project Management,1,529,2,Male,76,3,3,General Manager ,1,Married,13173,158080,4,Yes,Yes,25,3,3,40,1,3,4,1,3,1,1,1
49,No,Non-Travel,827,Lifecycle Solutions/Engineering Process Services,1,3,Technical Degree,1,530,2,Female,55,4,2,Lead Engineer ,1,Married,9533,114400,4,Yes,No,11,2,1,40,0,3,4,3,3,1,1,1
28,No,Non-Travel,608,Lifecycle Solutions/Engineering Process Services,1,3,Technical Degree,1,531,3,Male,58,2,2,Team Lead ,4,Married,10053,120640,1,Yes,No,15,3,1,40,0,3,3,4,3,1,1,1
26,No,Non-Travel,1018,Embedded Systems & Electronics,3,3,Technical Degree,1,532,3,Male,51,2,2,Senior Engineer ,1,Married,8840,106080,2,Yes,No,11,4,2,40,0,3,6,3,3,1,1,1
31,No,Non-Travel,703,Lifecycle Solutions/Engineering Process Services,14,3,Technical Degree,1,533,4,Female,53,2,4,Senior Associate - -,2,Married,9187,110240,2,Yes,No,20,3,1,40,0,3,2,3,3,1,1,1
28,No,Non-Travel,580,Lifecycle Solutions/Engineering Process Services,5,3,Technical Degree,1,534,4,Male,53,3,2,Senior Engineer  ,4,Married,9187,110240,5,Yes,Yes,11,4,4,40,1,3,2,1,3,1,1,1
61,No,Non-Travel,970,Lifecycle Solutions/Supply Chain Solutions,7,3,Technical Degree,1,535,3,Female,60,3,2,Senior Engineer  ,1,Married,10400,124800,3,Yes,No,25,4,3,40,0,3,3,3,3,1,1,1
28,No,Non-Travel,427,Mechanical Systems/After Market Services,10,3,Technical Degree,1,536,2,Male,56,3,2,Senior Engineer  ,4,Divorced,9707,116480,3,Yes,No,21,3,2,40,3,3,2,3,3,1,1,1
27,No,Non-Travel,1179,Mechanical Systems/Design & Development,16,3,Technical Degree,1,537,1,Male,54,3,2,Project Leader ,3,Married,9360,112320,8,Yes,No,17,4,2,40,0,3,1,1,3,1,1,1
26,No,Non-Travel,294,Mechanical Systems/Design & Development,10,3,Technical Degree,1,538,4,Male,56,4,2,Project Leader ,1,Divorced,9707,116480,1,Yes,No,12,1,3,40,2,3,4,3,3,1,1,1
34,No,Non-Travel,314,Mechanical Systems/Engineering Analysis,1,3,Technical Degree,1,539,4,Male,55,4,2,Technical Lead ,3,Married,9533,114400,1,Yes,No,13,1,4,40,1,3,3,1,3,1,1,1
41,No,Non-Travel,316,Lifecycle Solutions/Engineering Process Services,8,3,Technical Degree,1,540,4,Male,57,2,2,Lead Engineer  ,1,Married,9880,118560,3,Yes,No,11,4,4,40,1,3,2,4,3,1,1,1
52,No,Non-Travel,654,Lifecycle Solutions/Supply Chain Solutions,1,3,Technical Degree,1,541,1,Male,51,4,2,Project Leader ,1,Married,8840,106080,7,Yes,Yes,17,2,4,40,0,3,4,1,3,1,1,1
39,No,Non-Travel,427,Mechanical Systems/After Market Services,8,3,Technical Degree,1,542,1,Male,52,2,2,Lead Engineer  ,1,Married,9013,108160,2,Yes,No,16,1,2,40,1,6,2,4,6,2,2,2
67,No,Non-Travel,168,Mechanical Systems/After Market Services,1,3,Technical Degree,1,543,3,Male,57,4,2,Senior Lead Engineer ,1,Married,9880,118560,2,Yes,Yes,23,4,1,40,0,3,4,3,3,1,1,1
27,No,Non-Travel,381,Mechanical Systems/Engineering Analysis,24,3,Technical Degree,1,544,1,Male,60,3,2,Senior Engineer ,1,Married,10400,124800,2,Yes,No,15,4,4,40,0,3,5,2,3,1,1,1
60,No,Non-Travel,217,Mechanical Systems/Engineering Analysis,3,3,Technical Degree,1,545,4,Male,52,4,2,Senior Lead Engineer ,2,Divorced,9013,108160,5,Yes,Yes,16,3,1,40,2,3,2,1,3,1,1,1
72,No,Non-Travel,501,Mechanical Systems/Design & Development,27,3,Technical Degree,1,546,3,Male,53,4,2,Lead Engineer ,1,Divorced,9187,110240,2,Yes,No,17,2,1,40,1,3,2,4,3,1,1,1
27,No,Non-Travel,1396,Mechanical Systems/Testing Services,10,3,Technical Degree,1,547,3,Male,51,2,2,Senior Engineer ,4,Married,8840,106080,3,Yes,No,13,2,3,40,0,3,6,4,3,1,1,1
26,No,Non-Travel,933,Lifecycle Solutions/Engineering Process Services,19,3,Technical Degree,1,548,3,Male,52,3,2,Engineer  ,1,Divorced,9013,108160,5,Yes,Yes,13,2,3,40,0,3,2,2,3,1,1,1
29,No,Non-Travel,775,Lifecycle Solutions/Supply Chain Solutions,15,3,Technical Degree,1,549,4,Male,54,1,2,Senior Engineer  ,2,Married,9360,112320,5,Yes,No,13,1,4,40,1,4,5,4,4,1,1,1
34,No,Non-Travel,970,Finance,8,4,Finance,1,550,2,Male,64,1,3,Deputy Manager ,3,Married,11093,133120,5,Yes,No,24,2,4,40,0,1,2,3,1,0,0,0
42,No,Non-Travel,650,Mechanical Systems/After Market Services,9,3,Technical Degree,1,551,2,Male,53,2,2,Senior Engineer  ,3,Married,9187,110240,5,Yes,No,11,2,3,40,1,3,2,4,3,1,1,1
49,No,Non-Travel,141,Lifecycle Solutions/Supply Chain Solutions,3,3,Technical Degree,1,552,3,Female,69,1,3,Project Manager ,4,Married,11960,143520,3,Yes,No,25,3,2,40,1,3,3,4,3,1,1,1
36,No,Non-Travel,832,Lifecycle Solutions/Supply Chain Solutions,9,3,Technical Degree,1,553,3,Male,57,3,2,Technical Lead ,3,Married,9880,118560,7,Yes,No,11,2,4,40,0,3,1,1,3,1,1,1
42,No,Non-Travel,804,Lifecycle Solutions/Engineering Process Services,2,3,Technical Degree,1,554,4,Male,59,4,2,Senior Lead Engineer ,2,Married,10227,122720,2,Yes,Yes,15,4,2,40,0,3,2,3,3,1,1,1
30,No,Non-Travel,975,Mechanical Systems/Engineering Analysis,7,3,Technical Degree,1,555,4,Male,59,4,2,Senior Engineer ,3,Married,10227,122720,5,Yes,No,16,4,4,40,0,3,2,3,3,1,1,1
28,No,Non-Travel,1090,Human Resources,10,4,Human Resources,1,556,4,Male,66,2,3,Deputy Manager ,3,Divorced,11440,137280,5,Yes,No,18,1,4,40,2,3,2,4,3,1,1,1
35,No,Non-Travel,346,Mechanical Systems/Engineering Analysis,6,3,Technical Degree,1,557,4,Male,60,1,2,Senior Lead Engineer ,3,Married,10400,124800,3,Yes,No,15,1,2,40,0,3,4,1,3,1,1,1
64,No,Non-Travel,1225,Mechanical Systems/Design & Development,2,3,Technical Degree,1,558,4,Male,54,4,2,Lead Engineer ,4,Divorced,9360,112320,2,Yes,No,11,3,2,40,1,3,2,3,3,1,1,1
61,No,Non-Travel,430,Mechanical Systems/Design & Development,24,3,Technical Degree,1,559,1,Male,55,4,2,Senior Lead Engineer ,3,Married,9533,114400,3,Yes,No,12,1,3,40,2,3,2,1,3,1,1,1
35,No,Non-Travel,268,Mechanical Systems/Detail Engineering,2,3,Technical Degree,1,560,4,Male,58,2,2,Senior Engineer  ,2,Married,10053,120640,5,Yes,Yes,19,3,2,40,1,3,0,2,3,1,1,1
51,No,Non-Travel,167,Lifecycle Solutions/Engineering Process Services,8,3,Technical Degree,1,561,2,Female,59,1,2,Senior Engineer  ,4,Divorced,10227,122720,5,Yes,No,14,4,1,40,1,3,3,4,3,1,1,1
38,No,Non-Travel,621,Mechanical Systems/Detail Engineering,3,3,Technical Degree,1,562,3,Male,56,3,2,Senior Engineer  ,3,Married,9707,116480,5,Yes,No,18,1,2,40,0,3,3,2,3,1,1,1
26,No,Non-Travel,527,Lifecycle Solutions/Engineering Process Services,1,3,Technical Degree,1,563,4,Male,52,1,2,Associate Engineer  ,2,Married,9013,108160,4,Yes,Yes,15,1,3,40,0,3,2,2,3,1,1,1
36,No,Non-Travel,883,Human Resources,26,4,Human Resources,1,564,3,Male,49,1,1,Specialist ,1,Married,8493,101920,1,Yes,No,19,3,4,40,0,3,5,1,3,1,1,1
50,No,Non-Travel,954,Lifecycle Solutions/Engineering Process Services,2,3,Technical Degree,1,565,2,Male,54,1,2,Project Leader ,3,Married,9360,112320,0,Yes,No,14,2,4,40,0,3,3,3,3,1,1,1
30,No,Non-Travel,310,Lifecycle Solutions/Engineering Process Services,10,3,Technical Degree,1,566,1,Male,68,4,4,Senior Associate - -,1,Married,11787,141440,1,Yes,No,15,3,1,40,0,3,3,1,3,1,1,1
29,No,Non-Travel,719,Lifecycle Solutions/Supply Chain Solutions,27,3,Technical Degree,1,567,2,Female,59,1,2,Engineer  ,3,Married,10227,122720,3,Yes,Yes,19,1,1,40,0,3,2,3,3,1,1,1
67,No,Non-Travel,304,Mechanical Systems/Design & Development,2,3,Technical Degree,1,568,4,Male,54,4,2,Technical Lead ,3,Married,9360,112320,1,Yes,No,23,4,1,40,0,3,5,4,3,1,1,1
